genre,roi_2008,roi_2009,roi_2010,roi_2011,roi_2012,roi_2013,roi_2014,roi_2015,roi_2016,roi_2017,roi_2018,roi_total
Action,0.0,0.3886787727941176,0.0,0.1803849094827586,0.0,0.10464043333333328,0.406079481060606,0.0,0.19784554166666668,0.0,0.2368488988764046,0.0
Action / Adventure,1.8829478810810811,0.013109750256410257,0.8590832139880953,0.0,0.9863543988142294,0.2935356355555556,0.529638032,0.36028069629629633,0.09735659305617977,0.42439939873737376,0.0,0.2935356355555556
Adventure,0.6950728333333334,1.3225408777777776,0.0,0.34197063333333344,0.17812287009493666,0.0,0.0,0.0,0.23815953,0.0,0.0,0.0926131395348837
Animation,0.20007299999999995,0.13343729142857153,0.23016726748251748,0.12490907153846154,0.21531471941031943,0.40587860138888887,0.22070982068965517,1.0790877189285715,0.22965651200000003,0.8335398668421052,0.41340260847457616,0.2517366166666667
Comedy,0.5456737384615384,0.5600706428571429,0.49584936666666657,0.68702394,1.2276664545454548,0.9755676923076924,1.1264900375,0.899489935483871,0.5055962863157895,0.84676226,0.8964088952546295,0.7156397619047619
Comedy / Drama,0.6329616296296297,1.853035445,0.7514837583333334,2.6774430666666666,0.0,1.6301019846547318,1.3522554444444443,0.49011911111111117,0.0,0.10528215000000007,0.0,1.3526955472222222
Documentary,0.0,0.0,0.0,4.616454615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.616454615384615
Drama,1.318839,0.6400076666666668,0.04626876904761906,0.5449925526315789,2.0249153225806453,1.6068223964285715,1.6038454,1.4530399246031747,1.4034543333333334,1.3554372618181816,0.1264257851089588,1.3948506222222221
Family,0.0,0.0,0.0,0.9536967297297296,0.0,0.0,0.7792838730158731,1.1328127499999998,0.17281770769230764,0.0,6.115559382857143,1.0432547398648646
Fantasy,0.0,0.20783678800000005,0.0,0.0,0.0,0.0,0.34116876666666673,0.17565239824561413,0.0,0.9975553072916667,0.47750141095238086,0.0
Horror,2.723898981481481,1.517572,0.8021431714285714,0.00960713750000003,6.144681857142857,2.982895882352941,5.4924744,1.0645495357142858,2.5819556,5.806146733333334,9.636421636363636,2.2425907647058825
Musical,7.232674181818181,0.0,0.0,1.1584475833333334,0.47654296644808736,0.0,0.3217117230769231,0.0,4.036726766666667,1.0754782619047618,0.6084658000000001,1.0754782619047618
Romance,4.209996054054054,3.3188498666666666,2.20059368,1.5571557545454544,1.8259117930555555,1.5481828571428573,0.029469730769230873,1.6277685661764707,1.81225375,1.0832954545454547,0.8255956363636363,1.5571557545454544
Sci-Fi,0.0,2.8548745,0.0,1.5400835800000001,0.0,0.0,0.0,0.17706176622807013,0.5242520447775627,0.0,0.0,0.0
Thriller,0.26800928749999997,0.1781634233333333,0.0,0.01612181846846844,1.9111558,0.5696531866666668,1.2981476025335321,5.7548696249999995,0.8530811900584796,0.7962512545454545,0.1629313099579242,0.7229289999999999
War,0.0,0.7220102714285714,0.0,0.21037695454545458,0.0,0.0,0.26202802941176473,0.0,0.0,0.8804554600000001,0.0,0.26202802941176473
Western,0.0,0.0,0.0,0.0,0.62805434,0.0,0.0,0.22994127272727272,0.03814061111111111,0.0,0.0,0.1340409419191919
